Country,State,Crop,Season,Year,Soil_Type,Soil_pH,Soil_Moisture_%,Nitrogen_N,Phosphorus_P,Potassium_K,Temperature_C,Rainfall_mm,Humidity_%,Wind_Speed_kmph,Irrigation_Type,Area_hectare,Yield_kg_per_ha
India,Karnataka,Millet,Zaid,2001,Laterite,6.18,23.6,119,70,56,31.3,1142,67,12.8,Canal,5.29,1137.9
India,Gujarat,Sorghum,Kharif,2016,Sandy,5.58,21.9,41,72,33,34.2,1383,76,17.7,Rainfed,5.46,1601.1
India,Uttar Pradesh,Chickpea,Kharif,2015,Loamy,7.52,37.6,121,35,100,37,611,63,5.5,Rainfed,8.28,1482.8
India,Andhra Pradesh,Mango,Zaid,2020,Laterite,7.4,33.9,81,59,71,20.6,1139,36,2.3,Canal,0.55,8650.7
India,Gujarat,Tomato,Rabi,2009,Red,6.34,42.2,61,42,67,32.6,1384,75,2,Sprinkler,10.52,24528.3
India,Punjab,Mango,Rabi,2020,Alluvial,5.93,48.5,86,13,43,29,699,43,1,Drip,8.8,7663.5
India,Tamil Nadu,Coffee,Rabi,2015,Sandy,7.05,21.6,113,66,40,26.5,1038,77,6.6,Sprinkler,7.88,1416.2
India,Andhra Pradesh,Wheat,Rabi,2004,Sandy,5.68,39.8,141,71,57,25.5,1666,50,21.8,Canal,3.38,2528.7
India,Punjab,Wheat,Rabi,2019,Black,6.47,54.5,114,43,100,36.8,1169,65,11.9,Drip,3.04,2673.9
India,Bihar,Potato,Kharif,2002,Alluvial,5.7,38.2,146,43,54,19.5,587,34,23.2,Drip,2.01,22191.5
India,Andhra Pradesh,Cotton,Rabi,2002,Red,6.88,40.8,41,11,38,34.5,586,49,7,Rainfed,13.74,2326.3
India,Bihar,Chickpea,Kharif,2001,Laterite,5.56,39.5,73,52,38,16.9,1472,90,24.6,Canal,13.1,850.6
India,Uttar Pradesh,Coffee,Zaid,2020,Red,6.95,35.6,144,58,119,28.7,708,64,20.8,Rainfed,8.91,2268.2
India,Punjab,Cotton,Rabi,2003,Black,7.05,24.4,77,30,72,19,244,89,19.8,Canal,4.45,2027.4
India,Tamil Nadu,Maize,Rabi,2021,Red,6.62,25.1,118,21,57,26.5,1734,91,15.3,Rainfed,11.49,4134.5
India,Gujarat,Tea,Rabi,2017,Laterite,5.9,27.2,38,45,21,27.1,234,48,5.7,Canal,2.64,1788.5
India,Rajasthan,Groundnut,Rabi,2001,Alluvial,5.73,51.7,41,10,87,33.3,1188,89,23.8,Canal,12.27,1638.7
India,Karnataka,Wheat,Kharif,2023,Clay,6.22,31,142,51,36,20.2,601,73,20.4,Drip,12.34,3586.2
India,Maharashtra,Barley,Kharif,2005,Black,6.57,57.9,75,25,56,22.4,1599,65,21,Sprinkler,4.65,2558.6
India,Tamil Nadu,Millet,Kharif,2002,Loamy,6.98,52.4,61,58,75,27.5,450,56,22.3,Drip,7.6,1098.5
India,Punjab,Tea,Zaid,2020,Sandy,5.5,47.4,85,15,46,33.9,1739,46,7.2,Rainfed,9.4,2858.1
India,Rajasthan,Millet,Kharif,2002,Sandy,7.14,48.8,53,22,54,28.6,1227,56,21.9,Canal,3.44,1336.3
India,Punjab,Maize,Zaid,2001,Clay,6.52,42.7,55,18,27,31.4,1367,54,16.7,Rainfed,9.18,2857.4
India,Madhya Pradesh,Mango,Zaid,2002,Red,6.29,57.6,137,37,22,38,253,53,24.1,Canal,8.49,5665.7
India,Madhya Pradesh,Millet,Rabi,2016,Loamy,7.44,21.6,28,73,82,31.7,1281,65,22.6,Drip,6.88,1498.6
India,Bihar,Mustard,Rabi,2013,Loamy,7.3,31.6,104,43,38,23.7,1541,33,7,Sprinkler,3.83,1235.1
India,Tamil Nadu,Mango,Rabi,2006,Sandy,7.76,22.1,61,41,65,17.5,1064,70,18.6,Sprinkler,8.29,9269.2
India,Madhya Pradesh,Banana,Rabi,2021,Black,6.36,42.8,86,74,83,32.6,468,49,20.9,Sprinkler,5.87,38315.4
India,Punjab,Potato,Kharif,2020,Clay,7.59,24.6,26,61,29,39.6,555,62,11.6,Sprinkler,3.5,30741.2
India,Bihar,Wheat,Zaid,2005,Laterite,5.7,39.2,42,75,110,27.2,463,84,3.6,Sprinkler,4.87,2395.4
India,Punjab,Sugarcane,Rabi,2007,Loamy,6.45,48.8,42,13,38,18.4,927,82,8.5,Canal,3.94,71249.7
India,Bihar,Mango,Kharif,2018,Red,6.57,26.6,35,34,15,23,519,49,18.6,Drip,5.99,7354.6
India,Tamil Nadu,Groundnut,Rabi,2018,Clay,6.51,50.2,88,72,114,25.3,739,33,15.1,Drip,14.47,2000.3
India,Rajasthan,Soybean,Kharif,2011,Loamy,6.94,22.4,32,49,35,18.4,447,55,19.5,Canal,14.08,1533.2
India,Gujarat,Barley,Rabi,2004,Laterite,5.89,26,29,78,70,23.3,519,38,22.5,Canal,10.1,2854.2
India,Andhra Pradesh,Sorghum,Rabi,2004,Clay,7.49,31.2,78,65,95,35,1882,58,8.8,Rainfed,11.33,1539.7
India,Rajasthan,Tea,Rabi,2013,Clay,6.77,51.8,21,32,52,22.9,226,84,17.5,Drip,6.2,2569
India,Punjab,Banana,Rabi,2016,Black,5.51,28.8,73,74,111,22.3,976,83,16.9,Rainfed,12.8,30768.4
India,Uttar Pradesh,Millet,Kharif,2015,Laterite,6.95,23.8,38,60,35,17.5,706,93,1.9,Rainfed,12.08,1366.9
India,Rajasthan,Potato,Kharif,2003,Black,6.45,53.9,116,34,90,34.7,1636,74,7,Drip,3.32,23948.3
India,Bihar,Maize,Zaid,2024,Laterite,6.66,46,47,50,10,18,594,85,11.8,Rainfed,12.41,4096.2
India,Andhra Pradesh,Pigeon Pea,Kharif,2007,Loamy,7.21,26.3,95,14,104,16.2,1805,85,21.3,Rainfed,12.29,1368.1
India,Andhra Pradesh,Onion,Kharif,2002,Loamy,6.02,42.3,38,73,82,24.9,1429,31,4.6,Rainfed,10.85,24867.5
India,Maharashtra,Barley,Kharif,2020,Red,5.97,54.9,123,15,35,37.5,1395,73,19.7,Rainfed,12.75,2924.4
India,Andhra Pradesh,Millet,Kharif,2004,Black,7.12,22.8,61,55,73,29.3,1933,80,14.5,Rainfed,12.71,924.8
India,Gujarat,Tea,Kharif,2022,Loamy,6.7,23.3,54,32,71,37.9,1758,59,12,Sprinkler,8.86,2810.7
India,Andhra Pradesh,Soybean,Zaid,2023,Red,6.04,30.9,28,47,15,36.8,1077,85,16.4,Drip,10.3,1521.6
India,Rajasthan,Chickpea,Rabi,2024,Clay,6.61,46.1,58,14,119,16.9,1239,73,9.3,Rainfed,5.53,1498.1
India,Maharashtra,Rice,Zaid,2006,Clay,6.56,27.1,57,70,71,16.4,1597,75,24.9,Drip,2.16,3334.5
India,Rajasthan,Pigeon Pea,Zaid,2017,Red,7.09,52.7,34,11,75,22.4,570,57,3.7,Sprinkler,8.28,909.2
India,Rajasthan,Onion,Rabi,2023,Laterite,5.51,50,128,12,51,37.1,1362,87,4.3,Rainfed,8.08,21557.1
India,Karnataka,Banana,Kharif,2007,Loamy,6.85,42.4,109,16,36,27.6,691,55,22.2,Rainfed,12.04,36862.8
India,Maharashtra,Rice,Rabi,2010,Clay,6.89,24.6,144,59,74,38.9,325,40,6.3,Canal,3.27,2130.9
India,Rajasthan,Sugarcane,Kharif,2013,Laterite,7.21,59.5,79,69,39,22.5,1968,50,2.5,Sprinkler,12.82,84533
India,Karnataka,Onion,Rabi,2017,Black,7.55,39.6,81,74,91,26.2,1465,56,22.4,Rainfed,11.97,25768.3
India,Karnataka,Maize,Zaid,2012,Sandy,6.51,38.1,50,74,107,15.6,1469,79,2.5,Canal,11.06,3553.8
India,Maharashtra,Rice,Kharif,2005,Clay,6.29,59.8,49,71,94,36.8,992,36,21.6,Drip,3.15,2672.2
India,Uttar Pradesh,Groundnut,Zaid,2012,Clay,5.74,54.6,85,63,74,19,555,73,13.7,Rainfed,5.15,1490.6
India,Bihar,Tea,Kharif,2025,Alluvial,6.27,38.3,26,62,56,39.7,1793,63,13.8,Canal,6.57,1875.4
India,Gujarat,Banana,Rabi,2000,Laterite,5.66,36.8,131,18,41,22.6,1335,51,4.1,Sprinkler,0.51,48101.9
India,Bihar,Tea,Rabi,2010,Red,7.35,23.8,122,10,116,38.6,648,56,16.1,Sprinkler,3.4,1745.5
India,Andhra Pradesh,Coffee,Rabi,2006,Alluvial,7.36,57.1,130,24,43,31.8,495,75,9.9,Drip,10.13,2264.9
India,Gujarat,Rice,Rabi,2009,Black,6.46,53.8,57,45,56,29.4,1536,69,9.7,Canal,8.84,2866.7
India,Andhra Pradesh,Banana,Rabi,2001,Alluvial,6.1,32.4,105,19,23,18,519,35,17.7,Sprinkler,14.22,43754.3
India,Rajasthan,Barley,Zaid,2015,Alluvial,5.77,50.1,98,59,14,17.6,592,36,21.8,Drip,2.96,2384.9
India,Punjab,Groundnut,Zaid,2004,Sandy,7.46,50.5,49,40,45,21.6,383,76,18.6,Canal,8,2336.9
India,Maharashtra,Cotton,Kharif,2015,Sandy,7.52,29.1,37,78,105,23.9,1553,87,17.4,Canal,0.79,1847.1
India,Gujarat,Sugarcane,Zaid,2022,Alluvial,6.11,44.5,107,25,18,30.4,1336,40,22.3,Canal,8.94,64824.5
India,Gujarat,Soybean,Kharif,2025,Sandy,6.93,30.2,114,51,118,19.2,963,69,22.6,Rainfed,2.03,1834.3
India,Rajasthan,Cotton,Kharif,2015,Loamy,6.09,51.6,37,35,44,32.3,517,43,18.7,Canal,1.79,1539.3
India,Karnataka,Cotton,Zaid,2014,Alluvial,5.55,46.8,101,11,84,36.6,1363,71,6.8,Canal,5.39,2571.1
India,Rajasthan,Onion,Kharif,2008,Laterite,6.83,33,97,76,55,36.9,645,83,17.3,Rainfed,7.05,15126.6
India,Madhya Pradesh,Sugarcane,Zaid,2000,Sandy,5.84,21.4,84,65,114,37.4,774,49,12.7,Drip,0.91,50832.4
India,Karnataka,Mustard,Zaid,2008,Alluvial,5.53,24.9,59,33,22,25.6,585,52,21.4,Canal,1.59,1616.1
India,Maharashtra,Wheat,Zaid,2010,Laterite,5.74,46.2,135,76,70,18.3,842,39,24.1,Rainfed,1.54,2742.9
India,Karnataka,Soybean,Rabi,2004,Clay,6.22,29.6,43,49,39,27.7,641,74,7.4,Canal,2.37,1526.6
India,Uttar Pradesh,Chickpea,Rabi,2005,Sandy,7.04,45.2,29,72,107,34,1075,94,17.1,Canal,6.76,1211.3
India,Karnataka,Tomato,Kharif,2007,Alluvial,5.97,36.6,58,78,41,21.7,1888,62,21.5,Drip,6.89,36834.7
India,Maharashtra,Chickpea,Zaid,2014,Sandy,7.54,47.7,127,68,39,31.7,708,36,17.4,Rainfed,5.2,1113
India,Bihar,Wheat,Zaid,2015,Loamy,6.26,32.3,26,61,112,35.3,870,76,20.6,Rainfed,12.97,2922.8
India,Gujarat,Sorghum,Rabi,2017,Alluvial,6,25.8,42,45,65,20.4,557,42,17.9,Sprinkler,9.6,1264.6
India,Gujarat,Wheat,Zaid,2011,Laterite,6.08,33.6,108,40,76,37.8,1952,91,20.8,Canal,9.65,3171.2
India,Andhra Pradesh,Rice,Zaid,2022,Clay,5.67,45.4,36,16,80,28.6,1133,78,24.8,Rainfed,5.01,2270.5
India,Bihar,Wheat,Zaid,2003,Red,6.18,49.6,97,29,112,24.4,1284,42,14.1,Canal,13.44,2379.3
India,Bihar,Mustard,Rabi,2024,Black,7.48,26.4,84,42,64,33.4,526,89,17,Drip,4.92,1447
India,Karnataka,Wheat,Rabi,2021,Loamy,7.08,46.6,105,26,107,22.8,1652,44,15.8,Rainfed,9.93,2712.4
India,Gujarat,Onion,Rabi,2015,Red,7.51,27.2,47,15,17,32.9,1774,92,7.8,Rainfed,13.82,20198.9
India,Maharashtra,Millet,Kharif,2022,Sandy,5.74,28.9,77,29,52,22.8,1117,49,21,Rainfed,14.91,1203.3
India,Tamil Nadu,Onion,Zaid,2010,Laterite,6.55,41.3,37,51,57,36.2,773,38,10.3,Drip,3.48,20627.2
India,Tamil Nadu,Millet,Rabi,2021,Alluvial,6.03,31.6,129,72,67,39.5,661,67,23.9,Drip,13.09,1050.9
India,Gujarat,Mustard,Rabi,2023,Laterite,7.73,58.2,63,16,113,28.5,956,71,4.7,Drip,1.55,1603.9
India,Gujarat,Pigeon Pea,Zaid,2021,Sandy,7.38,26,83,38,87,26.5,1251,48,2.4,Rainfed,3.05,1342.7
India,Tamil Nadu,Cotton,Kharif,2006,Alluvial,5.58,42.8,56,76,78,38.2,1046,54,4.4,Drip,7.9,1434.9
India,Gujarat,Mustard,Rabi,2023,Loamy,6.23,56.9,22,25,16,25.9,1142,94,19.7,Canal,7.89,1311
India,Karnataka,Tomato,Rabi,2014,Red,5.57,27.1,33,59,83,35.3,1804,56,18.5,Sprinkler,11.89,27845.9
India,Madhya Pradesh,Cotton,Kharif,2016,Laterite,5.59,34.7,102,53,29,15.1,686,37,15.5,Drip,6.78,2042.6
India,Punjab,Tomato,Kharif,2014,Black,5.68,24.9,98,40,71,37.3,1253,58,5.4,Rainfed,10.9,21024.6
India,Bihar,Banana,Kharif,2009,Loamy,6.14,45.7,71,76,30,24.7,475,42,11.8,Sprinkler,14.93,35175
India,Andhra Pradesh,Rice,Kharif,2003,Clay,6.2,46.8,128,12,101,22,1331,40,13.8,Canal,14.29,3214.6
India,Uttar Pradesh,Barley,Kharif,2021,Clay,6.42,46.6,45,75,38,18.8,363,55,24.3,Drip,8.37,2095
India,Madhya Pradesh,Millet,Rabi,2016,Sandy,6.43,41.7,96,16,79,16.8,459,52,6.2,Drip,11.65,880
India,Tamil Nadu,Tomato,Kharif,2003,Sandy,7.27,49.9,50,36,47,37.1,486,38,9.4,Rainfed,5.46,25200.3
India,Bihar,Cotton,Kharif,2021,Laterite,5.83,21.4,59,16,51,23.3,1325,31,16.4,Sprinkler,11.83,2412.7
India,Gujarat,Coffee,Zaid,2022,Red,5.86,58.3,51,17,114,39.3,1431,71,6.1,Canal,9.73,1553.2
India,Andhra Pradesh,Tomato,Rabi,2021,Red,6.94,28.9,120,51,12,25.5,219,46,5.3,Sprinkler,6.74,29313.2
India,Gujarat,Mango,Zaid,2010,Black,6.82,24.9,23,35,46,38.7,1689,86,11.6,Rainfed,7.5,6158.6
India,Maharashtra,Barley,Rabi,2003,Black,5.85,57.6,100,70,26,31.5,1640,50,13.5,Drip,7.02,2846.9
India,Maharashtra,Sorghum,Rabi,2011,Laterite,7.46,53.2,103,29,42,18.9,591,65,17.5,Sprinkler,9.96,1530.2
India,Andhra Pradesh,Maize,Rabi,2022,Alluvial,6.26,50.6,94,60,19,22.6,361,44,19.2,Rainfed,10.7,2843.8
India,Andhra Pradesh,Mango,Kharif,2009,Red,6.34,24.2,61,11,46,38.5,1248,42,21.9,Sprinkler,7.6,10243.5
India,Tamil Nadu,Millet,Zaid,2013,Loamy,6.47,52.3,116,39,42,25.7,1764,91,9.1,Sprinkler,13,1443.9
India,Andhra Pradesh,Rice,Rabi,2017,Loamy,6.24,44.4,122,26,37,16.4,832,74,13.1,Rainfed,14.22,2771
India,Karnataka,Mango,Rabi,2005,Loamy,6.78,49.3,66,76,96,23.5,1937,92,21.7,Rainfed,10.31,6186.7
India,Gujarat,Sorghum,Rabi,2004,Alluvial,6.39,59.1,37,52,51,36.9,1954,43,12.1,Rainfed,3.27,1713
India,Madhya Pradesh,Tea,Zaid,2001,Alluvial,6.1,27.8,21,58,119,39.9,227,79,4.3,Canal,3.08,2571.2
India,Rajasthan,Potato,Rabi,2024,Laterite,7.58,40.2,124,13,67,15.7,1380,45,11.5,Canal,14.99,30648.3
India,Andhra Pradesh,Groundnut,Zaid,2012,Black,6.21,50.1,121,38,57,26.8,832,79,19.5,Drip,8.1,1715.2
India,Uttar Pradesh,Sorghum,Zaid,2022,Alluvial,7.11,37.3,107,43,60,21.1,453,84,12.3,Sprinkler,10.09,1322.6
India,Maharashtra,Cotton,Kharif,2013,Laterite,6.3,22.2,23,18,119,39.5,1533,44,6.9,Sprinkler,7.85,1656.7
India,Karnataka,Soybean,Rabi,2002,Black,6.5,24.5,26,67,19,24.6,1489,54,23.6,Rainfed,10.1,1066.2
India,Bihar,Millet,Rabi,2022,Alluvial,6.04,44.1,76,33,17,38.3,292,69,8.3,Drip,7.14,1408.2
India,Rajasthan,Banana,Zaid,2010,Alluvial,7.23,31.4,49,65,25,30.3,451,89,13.5,Sprinkler,13.17,40152
India,Rajasthan,Wheat,Kharif,2021,Black,5.55,33.6,55,72,105,38.7,1269,66,11,Canal,14.93,2248.1
India,Andhra Pradesh,Pigeon Pea,Rabi,2022,Clay,5.64,28,118,51,71,17.6,716,39,16.4,Canal,9.46,975.7
India,Tamil Nadu,Potato,Zaid,2003,Black,7.62,21,132,26,58,20,1211,58,12.5,Canal,1.79,30361.9
India,Maharashtra,Tomato,Rabi,2012,Sandy,7.54,26.1,21,75,118,21.6,1433,65,3.5,Sprinkler,7.12,32099.5
India,Maharashtra,Sorghum,Rabi,2025,Loamy,6.66,55.3,132,57,98,28.4,829,81,13.2,Rainfed,6.26,1460.8
India,Bihar,Millet,Rabi,2007,Sandy,6.63,20.5,119,79,110,21,827,95,8.2,Rainfed,14.04,1032.8
India,Tamil Nadu,Chickpea,Zaid,2007,Laterite,7.37,51,123,42,24,38.3,1547,66,16.1,Drip,4.81,1260.5
India,Gujarat,Potato,Rabi,2022,Laterite,5.82,50.1,131,47,25,19.5,836,58,5.4,Rainfed,7.25,23281.8
India,Punjab,Cotton,Zaid,2012,Red,7,42.6,54,10,115,19.3,830,63,15,Canal,10.98,1717.9
India,Karnataka,Banana,Kharif,2022,Sandy,6.59,28.3,101,64,90,18.8,1284,69,11.8,Drip,1.79,37049.8
India,Maharashtra,Wheat,Kharif,2009,Black,7.21,55.1,51,64,36,25.9,326,35,20.4,Drip,3.2,3146.8
India,Uttar Pradesh,Soybean,Zaid,2012,Sandy,5.57,39,48,19,56,16.1,815,35,9.1,Drip,10.01,1427.7
India,Maharashtra,Mustard,Rabi,2012,Clay,6.86,26.9,82,64,35,32,436,52,3.4,Sprinkler,1.96,1378.9
India,Rajasthan,Banana,Kharif,2023,Loamy,6.78,37.2,144,33,81,21.2,1786,34,3,Sprinkler,4.66,44005.8
India,Maharashtra,Tomato,Kharif,2016,Laterite,7.43,27.8,115,37,50,38.3,794,62,11.8,Drip,6.53,29721.4
India,Maharashtra,Tomato,Zaid,2005,Clay,7.06,35,100,60,114,19.5,1042,47,13.4,Drip,3.69,38143.9
India,Punjab,Pigeon Pea,Zaid,2001,Laterite,7.52,39.9,77,55,20,17,357,33,10,Sprinkler,5.25,816.2
India,Punjab,Sorghum,Zaid,2016,Clay,7.54,34.4,137,38,100,25.1,1090,33,19.9,Sprinkler,3.97,1767.8
India,Madhya Pradesh,Soybean,Zaid,2011,Laterite,6.44,46.3,104,28,18,21.1,1384,57,17,Canal,11.76,1826.1
India,Gujarat,Mustard,Zaid,2025,Black,5.82,57.4,103,14,63,36.7,280,52,14.6,Rainfed,4.01,1207.4
India,Uttar Pradesh,Cotton,Zaid,2022,Clay,6.95,33.9,106,58,20,28,798,83,15.7,Rainfed,11.91,1895.5
India,Maharashtra,Coffee,Zaid,2005,Loamy,7.51,34.2,35,64,16,26.9,1202,38,19.3,Sprinkler,4.1,1673
India,Maharashtra,Cotton,Rabi,2004,Alluvial,5.67,49.5,25,55,37,34.5,1993,32,15.6,Canal,1.41,2493.4
India,Karnataka,Banana,Rabi,2004,Laterite,6.78,41.2,26,24,103,31.3,1579,34,6.3,Drip,13.39,35606.4
India,Punjab,Wheat,Rabi,2024,Sandy,5.76,37.2,33,48,71,15.2,1220,52,10.7,Sprinkler,11,2877.2
India,Uttar Pradesh,Mustard,Rabi,2008,Alluvial,5.56,52.6,22,31,64,32.1,576,69,4.3,Canal,3.59,1117.5
India,Bihar,Tea,Kharif,2021,Sandy,7.06,55.6,68,71,45,32.8,1944,63,21.9,Canal,4.91,1596.2
India,Madhya Pradesh,Wheat,Rabi,2002,Laterite,7.07,43.6,55,78,82,19.4,563,67,6.2,Drip,3.85,3075.2
India,Gujarat,Barley,Kharif,2022,Black,6.88,27.4,48,40,108,32.7,479,71,15.4,Rainfed,11.2,2572.1
India,Tamil Nadu,Sugarcane,Kharif,2019,Loamy,7.48,38.7,140,46,72,39.8,966,50,2.3,Rainfed,0.69,52615
India,Gujarat,Sugarcane,Kharif,2004,Loamy,5.69,40.2,42,32,60,22.4,1532,89,8.6,Drip,14.46,89185.6
India,Rajasthan,Mango,Zaid,2006,Alluvial,5.74,37.3,121,13,86,16,365,31,22.5,Sprinkler,5.92,7664.8
India,Maharashtra,Sugarcane,Kharif,2011,Alluvial,7.49,30.5,37,52,57,36.3,532,42,20.1,Drip,4.65,69154.1
India,Madhya Pradesh,Cotton,Kharif,2006,Laterite,6.66,38.9,20,47,77,20.1,1325,72,3.2,Canal,11.86,1967.5
India,Rajasthan,Mustard,Kharif,2009,Loamy,6.13,37.9,51,24,19,34.5,243,93,14.4,Sprinkler,5.16,1408.8
India,Uttar Pradesh,Millet,Zaid,2007,Loamy,7.2,28.4,60,20,35,25.2,1388,40,10.2,Canal,8.76,1187.3
India,Tamil Nadu,Tomato,Rabi,2016,Clay,7.56,56.1,104,34,76,37.6,316,76,4.2,Sprinkler,6.42,36050.2
India,Punjab,Millet,Rabi,2004,Laterite,7.09,55.4,112,35,62,38.5,864,46,20.6,Canal,9.6,1178.1
India,Madhya Pradesh,Millet,Kharif,2014,Laterite,7.32,50.4,136,48,52,24.9,947,43,21.9,Sprinkler,1.95,1240.4
India,Madhya Pradesh,Banana,Kharif,2008,Loamy,6.15,36,115,65,26,39.5,1358,50,13.1,Canal,6.08,35376
India,Maharashtra,Millet,Rabi,2022,Red,6.16,34.8,78,60,36,15.7,794,41,5.6,Drip,13.58,1228.4
India,Andhra Pradesh,Barley,Rabi,2010,Black,7.49,48.7,80,42,31,29.2,370,64,11.1,Rainfed,14.65,2659.3
India,Madhya Pradesh,Chickpea,Rabi,2012,Clay,6.91,44.3,70,29,117,33.5,451,92,1.8,Canal,2.16,1371.8
India,Karnataka,Sugarcane,Rabi,2017,Black,6.04,44,110,61,45,25.7,995,90,17.9,Canal,10.05,84444.2
India,Tamil Nadu,Barley,Kharif,2016,Loamy,6.71,25,84,43,81,31.5,1231,65,22.7,Canal,6.47,2715.9
India,Tamil Nadu,Onion,Kharif,2023,Laterite,7.08,44.7,68,54,42,22.7,1885,78,1.4,Drip,5.66,15680.2
India,Karnataka,Banana,Kharif,2008,Red,6,56.1,122,13,99,16.9,1199,43,16.7,Canal,0.79,30294.6
India,Bihar,Pigeon Pea,Rabi,2009,Loamy,7.01,23.4,49,22,104,35.9,1461,66,3.1,Rainfed,2.13,1159
India,Karnataka,Cotton,Zaid,2004,Laterite,5.6,33.6,111,68,62,22.4,542,80,6.6,Sprinkler,3.88,1709.1
India,Karnataka,Groundnut,Rabi,2010,Laterite,6.2,40.4,81,76,20,19.9,1984,51,13.8,Drip,7.2,2114.5
India,Tamil Nadu,Tomato,Rabi,2021,Black,7.05,47.4,22,62,102,20,463,44,8.7,Rainfed,10.19,37721.5
India,Gujarat,Banana,Zaid,2014,Loamy,5.84,23.6,58,26,38,35.6,1213,49,1.1,Canal,8.53,38230.7
